Идентификатор,Наименование,Описание,Объект воздействия,Компоненты,Способы реализации,Потенциал нарушителя,Меры защиты
УБИ.1.2.1,"Угроза утечки информации, обрабатываемой сервером, за счет эксплуатации уязвимостей","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,"К.1.2.1 Операционная система;
К.1.2.3 Программная оболочка;
К.1.2.4 Драйвер;
К.1.2.6 Загрузчик операционной системы;
К.1.3.1 Системные и сетевые службы",СП.1.1 Эксплуатация известных уязвимостей,"В.1 Нарушитель, обладающий базовыми возможностями","АУД.2.1 Выявление (поиск) уязвимостей, связанных с ошибками кода в программном (микропрограммном) обеспечении (общесистемном, прикладном, специальном), а также программном обеспечении средств защиты информации, правильностью установки и настройки средств защиты информации, технических средств и программного обеспечения, а также корректностью работы средств защиты информации при их взаимодействии с техническими средствами и программным обеспечением ;
АУД.2.2 Разработка по результатам выявления (поиска) уязвимостей отчетов с описанием выявленных уязвимостей и планом мероприятий по их устранению; анализ отчетов с результатами поиска уязвимостей и оценки достаточности реализованных мер защиты информации ;
АУД.2.3 Устранение выявленных уязвимостей, в том числе путем установки обновлений программного обеспечения средств защиты информации, общесистемного программного обеспечения, прикладного программного обеспечения или микропрограммного обеспечения технических средств ;
АУД.2.4 Информирование должностных лиц оператора (пользователей, администраторов, подразделения по защите информации) о результатах поиска уязвимостей и оценки достаточности реализованных мер защиты информации ;
ОПС.2.5 Определение и применение параметров настройки компонентов программного обеспечения, включая программные компоненты средств защиты информации, обеспечивающих реализацию мер защиты информации, а также устранение возможных уязвимостей информационной системы, приводящих к возникновению угроз безопасности информации"
УБИ.1.2.2,"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков конфигурации","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,"К.1.2.1 Операционная система;
К.1.2.3 Программная оболочка;
К.1.2.4 Драйвер;
К.1.2.6 Загрузчик операционной системы;
К.1.3.1 Системные и сетевые службы","СП.2.2 Использование недостатков, связанных с управлением учетными данными;
СП.2.8 Использование недостатков конфигурации, связанных с настройками по умолчанию (включая пароли по умолчанию);
СП.2.9 Использование недостатков конфигурации, связанных с отсутствием проверки сертификата сети (для беспроводных сетей);
СП.2.10 Использование недостатков конфигурации сетевого оборудования, связанных с отсутствием или некорректной фильтрацией трафика;
СП.2.11 Использование недостатков, связанных с некорректной настройкой прав доступа","В.1 Нарушитель, обладающий базовыми возможностями","АУД.1.3 Контроль выполнения условий и сроков действия сертификатов соответствия на средства защиты информации и принятие мер, направленных на устранение выявленных недостатков;
ЗИС.32.1 Ограничение на использование в информационной системе беспроводных соединений (в частности 802.11хWi-Fi, 802.15.1 Bluetooth, 802.22WRAN, IrDA и иных беспроводных соединений) в соответствии с задачами (функциями) информационной системы, для решения которых такие соединения необходимы;
ЗИС.32.2 Предоставление доступа к параметрам(изменению параметров) настройки беспроводных соединений только администраторам информационной системы; обеспечение возможности реализации беспроводных соединений только через контролируемые интерфейсы (в том числе, путем применения средств защиты информации);
ЗИС.32.3 Регистрация и анализ событий, связанных с использованием беспроводных соединений, в том числе для выявления попыток несанкционированного подключения к информационной системе через беспроводные соединения;
ЗИС.35.1 Фильтрация сетевого трафика, в том числе между внешними сетями и внутренними, в том числе при организации сетевого обмена с сетями связи общего пользования;
ИАФ.4.2 Выдача средств аутентификации пользователям; генерация и выдача начальной аутентификационной информации (начальных значений средств аутентификации);
УПД.1.1 Определение типа учетной записи (внутреннего пользователя, внешнего пользователя; системная, приложения; гостевая (анонимная), временная и (или) иные типы записей);
УПД.1.2 Объединение учетных записей в группы (при необходимости);
УПД.1.3 Верификация пользователя (проверка личности пользователя, его должностных (функциональных) обязанностей) при заведении учетной записи пользователя;
УПД.1.4 Заведение, активация, блокирование и уничтожение учетных записей пользователей;
УПД.1.5 Пересмотр и, при необходимости, корректировка учетных записей пользователей с периодичностью, определяемой субъектом;
УПД.1.6 Регламентация и контроль использования гостевых (анонимных) и временных учетных записей пользователей, а также привилегированных учетных записей администраторов;
УПД.1.7 Оповещение администратора, осуществляющего управление учетными записями пользователей, об изменении сведений о пользователях, их ролях, обязанностях, полномочиях, ограничениях;
УПД.1.8 Уничтожение временных учетных записей пользователей, предоставленных для однократного (ограниченного по времени) выполнения задач;
УПД.1.9 Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями;
УПД.2.1 Реализация дискреционного метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе идентификационной информации субъекта и для каждого объекта доступа – списка, содержащего набор субъектов доступа (групп субъектов) и ассоциированных с ними типов доступа;
УПД.2.2 Реализация ролевого метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе ролей субъектов доступа (совокупность действий и обязанностей, связанных с определенным видом деятельности);
УПД.2.3 Реализация мандатного метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе сопоставления классификационных меток каждого субъекта доступа и каждого объекта доступа, отражающих классификационные уровни субъектов доступа и объектов доступа, являющиеся комбинациями иерархических и неиерархических категорий;
УПД.3.2 Контроль доступа пользователей к процессу загрузки операционной системы;
УПД.4.1 Разделение полномочий (ролей) пользователей, администраторов и лиц, обеспечивающих функционирование информационной системы, в соответствии с их должностными обязанностями (функциями). Определение в организационно-распорядительных документах по защите информации (документирование) полномочий (ролей) пользователей, администраторов и лиц, обеспечивающих функционирование информационной системы.;
УПД.5.1 Назначение прав и привилегий пользователям и запускаемым от их имени процессам, администраторам и лицам, обеспечивающим функционирование, минимально необходимых для выполнения ими своих должностных обязанностей (функций), и санкционирование доступа к объектам доступа в соответствии с минимально необходимыми правами и привилегиями;
УПД.6.2 Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа;
УПД.13.1 Установление (в том числе документальное) видов доступа, разрешенных для удаленного доступа к объектам доступа;
УПД.13.2 Ограничение на использование удаленного доступа в соответствии с задачами (функциями), для решения которых такой доступ необходим, и предоставление удаленного доступа для каждого разрешенного вида удаленного доступа;
УПД.13.3 Предоставление удаленного доступа только тем пользователям, которым он необходим для выполнения установленных должностных обязанностей (функций);
УПД.13.5 Контроль удаленного доступа пользователей (процессов запускаемых от имени пользователей) к объектам доступа до начала информационного взаимодействия (передачи защищаемой информации);
УПД.14.1 Предоставление доступа только авторизованным (уполномоченным) пользователям;
УПД.14.2 Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем"
УБИ.1.2.3,"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков архитектуры","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,К.1.3.1 Системные и сетевые службы,СП.3.1 Эксплуатация недостатков незащищенных протоколов передачи данных,"В.1 Нарушитель, обладающий базовыми возможностями","ЗИС.19.1 Защита информации от раскрытия, модификации и навязывания (ввода ложной информации) при ее передаче (подготовке к передаче) по каналам связи, имеющим выход за пределы контролируемой зоны ;
ЗИС.35.4 Отключение неиспользуемых сетевых протоколов компонентами инфраструктуры, хостовой операционной системы, вычислительной сети "
УБИ.1.2.4,"Угроза утечки информации, обрабатываемой сервером, за счет внедрения вредоносного программного обеспечения","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,"К.1.2.1 Операционная система;
К.1.2.3 Программная оболочка","СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту;
СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации;
СП.4.3 Внедрение вредоносного программного обеспечения через посещение сайтов;
СП.4.5 Внедрение вредоносного программного обеспечения через средства удаленного управления/доступа;
СП.4.8 Внедрение вредоносного программного обеспечения через файлообменные ресурсы (FTP, SMB и т.п.);
СП.4.9 Внедрение вредоносного программного обеспечения через мессенджеры, системы видеоконференцсвязи","В.1 Нарушитель, обладающий базовыми возможностями","АВЗ.1.1 Применение средств антивирусной защиты на автоматизированных рабочих местах, серверах, периметральных средствах защиты информации (средствах межсетевого экранирования, прокси-серверах, почтовых шлюзах и других средствах защиты информации), мобильных технических средствах и иных точках доступа в информационной системе, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы) ;
АВЗ.1.5 Проверка в масштабе времени, близком к реальному, объектов (файлов) из внешних источников (съемных машинных носителей информации, сетевых подключений, в том числе к сетям общего пользования, и других внешних источников) при загрузке, открытии или исполнении таких файлов;
АВЗ.2.1 Применение средств антивирусной защиты на прокси-серверах, почтовых шлюза, почтовых серверах и иных точках доступа в информационную систему, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы);
АВЗ.3.1 Проверку в масштабе времени, близком к реальному, объектов (файлов) архивных, исполняемых и зашифрованных при загрузке, открытии или исполнении таких файлов.;
ЗИС.15.1 Реализация электронного почтового обмена с внешними сетями через ограниченное количество контролируемых точек;
ЗИС.16.1 Обнаружение и реагирование на поступление незапрашиваемых электронных сообщений (писем, документов) и иной информации, не относящихся к функционированию информационной системы (защита от спама);
ЗИС.17.1 Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты ;
ЗИС.18.1 Ограничение доступа к сайтам или типам сайтов, запрещенных к использованию;
ЗИС.28.1 Определение объектов или типов информации, для которых требуется обеспечение неотказуемости отправки (например, сообщения электронной почты ;
ЗИС.29.1 Определение объектов или типов информации, для которых требуется обеспечение неотказуемости получения (сообщения электронной почты) ;
ЗНИ.5.1 Определение оператором интерфейсов средств вычислительной техники, которые могут использоваться для ввода (вывода) информации, разрешенных и (или) запрещенных к использованию в инфомационной системе;
ЗНИ.5.3 Контроль доступа пользователей к разрешенным к использованию интерфейсов ввода (вывода);
ЗНИ.6.1 Определение оператором типов носителей информации, ввод (вывод) информации на которые подлежит контролю;
ЗНИ.6.3  Запрет действий по вводу (выводу) информации для пользователей, не имеющих полномочий на ввод (вывод) информации на машинные носители информации, и на носители информации, на которые запрещен ввод (вывод) информации;
ЗНИ.7.1 Определение оператором типов носителей информации, подключение которых к информационной системе разрешено;
ЗНИ.7.3 Запрет подключения носителей информации, подключение которых к информационной системе не разрешено;
УПД.13.1 Установление (в том числе документальное) видов доступа, разрешенных для удаленного доступа к объектам доступа;
УПД.13.2 Ограничение на использование удаленного доступа в соответствии с задачами (функциями), для решения которых такой доступ необходим, и предоставление удаленного доступа для каждого разрешенного вида удаленного доступа;
УПД.13.3 Предоставление удаленного доступа только тем пользователям, которым он необходим для выполнения установленных должностных обязанностей (функций);
УПД.13.4 Мониторинг и контроль удаленного доступа на предмет выявления несанкционированного удаленного доступа к объектам доступа;
УПД.13.5 Контроль удаленного доступа пользователей (процессов запускаемых от имени пользователей) к объектам доступа до начала информационного взаимодействия (передачи защищаемой информации)"
УБИ.1.2.7,"Угроза утечки информации, обрабатываемой сервером, за счет прослушивания (захвата) сетевого трафика","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,К.2.2.8 Сетевой интерфейс,СП.7.1 Прослушивание интерфейсов сети,"В.1 Нарушитель, обладающий базовыми возможностями","ЗИС.2.2 Обеспечение взаимодействия информационной системы и (или) ее сегментов с иными информационными системами и сетями только через сетевые интерфейсы, которые обеспечивают управление (контроль) информационными потоками с использованием средств защиты информации (управляемые (контролируемые) сетевые интерфейсы), установленных на физическом и (или) логическом периметре информационной системы или ее отдельных сегментов (маршрутизаторов, межсетевых экранов, коммутаторов, прокси-серверов, шлюзов безопасности, средств построения виртуальных частных сетей и иных средств защиты информации);
ЗИС.19.1 Защита информации от раскрытия, модификации и навязывания (ввода ложной информации) при ее передаче (подготовке к передаче) по каналам связи, имеющим выход за пределы контролируемой зоны "
УБИ.1.2.8,"Угроза утечки информации, обрабатываемой сервером, за счет сканирования сетевой инфраструктуры","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,"К.1.2.1 Операционная система;
К.1.3.1 Системные и сетевые службы","СП.8.5 Идентификация пользователей;
СП.8.6 Обнаружение доступных общих сетевых каталогов","В.1 Нарушитель, обладающий базовыми возможностями","АУД.5.1 Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак;
ЗИС.8.1 Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы;
ЗИС.35.1 Фильтрация сетевого трафика, в том числе между внешними сетями и внутренними, в том числе при организации сетевого обмена с сетями связи общего пользования;
ЗИС.35.3 Контроль передачи служебных информационных сообщений, передаваемых в сетях, хостовой операционной системы, по составу, объёму и иным характеристикам ;
ЗИС.35.6 Обеспечение изоляции потоков данных, передаваемых и обрабатываемых компонентами инфраструктуры и сетевых потоков вычислительной сети;
ЗИС.35.7 Семантический и статистический анализ сетевого трафика вычислительной сети;
СОВ.1.1 Обнаружение (предотвращение) вторжений (компьютерных атак), направленных на преднамеренный несанкционированный доступ к информации, специальные воздействия на информацию (носители информации) в целях ее добывания, уничтожения, искажения и блокирования доступа к ней, с использованием систем обнаружения вторжений "
УБИ.1.2.12,"Угроза утечки информации, обрабатываемой сервером, за счет считывания вводимой и выводимой информации ","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,К.1.2.1 Операционная система,СП.12.1 Считывание нажатий клавиш на клавиатуре,"В.1 Нарушитель, обладающий базовыми возможностями","АВЗ.1.1 Применение средств антивирусной защиты на автоматизированных рабочих местах, серверах, периметральных средствах защиты информации (средствах межсетевого экранирования, прокси-серверах, почтовых шлюзах и других средствах защиты информации), мобильных технических средствах и иных точках доступа в информационной системе, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы) ;
АВЗ.1.4 Проведение периодических проверок компонентов информационной системы (автоматизированных рабочих мест, серверов, других средств вычислительной техники) на наличие вредоносных компьютерных программ (вирусов);
АВЗ.1.5 Проверка в масштабе времени, близком к реальному, объектов (файлов) из внешних источников (съемных машинных носителей информации, сетевых подключений, в том числе к сетям общего пользования, и других внешних источников) при загрузке, открытии или исполнении таких файлов;
АВЗ.1.6 Оповещение администраторов безопасности в масштабе времени, близком к реальному, об обнаружении вредоносных компьютерных программ (вирусов);
АВЗ.1.7 Определение и выполнение действий по реагированию на обнаружение в информационной системе объектов, подвергшихся заражению вредоносными компьютерными программами (вирусами) ;
АВЗ.2.1 Применение средств антивирусной защиты на прокси-серверах, почтовых шлюза, почтовых серверах и иных точках доступа в информационную систему, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы);
АВЗ.3.1 Проверку в масштабе времени, близком к реальному, объектов (файлов) архивных, исполняемых и зашифрованных при загрузке, открытии или исполнении таких файлов.;
АУД.1.1 Контроль соответствия состава технических средств, программного обеспечения и средств защиты информации приведенному в эксплуатационной документации с целью поддержания актуальной (установленной в соответствии с эксплуатационной документацией) конфигурации информационной системы и принятие мер, направленных на устранение выявленных недостатков;
АУД.1.2 Контроль состава технических средств, программного обеспечения и средств защиты информации на соответствие сведениям действующей (актуализированной) эксплуатационной документации и принятие мер, направленных на устранение выявленных недостатков;
ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы;
ЗТС.1.1 Защита информации, обрабатываемой техническими средствами, от ее утечки за счет побочных электромагнитных излучений и наводок;
ЗТС.2.1 Обеспечение контролируемой зоны, в пределах которой постоянно размещаются стационарные технические средства, обрабатывающие информацию, и средства защиты информации, а также средства обеспечения функционирования;
ЗТС.3.1 Контроль и управление физическим доступом к техническим средствам, средствам защиты информации, средствам обеспечения функционирования, а также в помещения и сооружения, в которых они установлены, исключающие несанкционированный физический доступ к средствам обработки информации, средствам защиты информации и средствам обеспечения функционирования информационной системы и помещения и сооружения, в которых они установлены;
ОПО.1.1 Проведение поиска и получение обновлений программного обеспечения от доверенного источника;
ОПО.2.1 Проведение проверки целостности программного обеспечения путем сверки контрольных сумм, предоставляемых разработчиком;
ОПС.1.1 Определение перечня (списка) компонентов программного обеспечения (файлов, объектов баз данных, хранимых процедур и иных компонентов), запускаемых автоматически при загрузке операционной системы средства вычислительной техники;
ОПС.1.2 Разрешение запуска компонентов программного обеспечения, включенных в перечень (список) программного обеспечения, запускаемого автоматически при загрузке операционной системы средства вычислительной техники;
ОПС.1.3 Ограничение запуска компонентов программного обеспечения от имени администраторов безопасности;
ОЦЛ.1.1 Контроль целостности программного обеспечения средств защиты информации, включая их обновления, по наличию имен (идентификаторов) и (или) по контрольным суммам компонентов средств защиты информации в процессе загрузки и (или) динамически в процессе работы информационной системы ;
ОЦЛ.1.2 Контроль целостности компонентов программного обеспечения (за исключением средств защиты информации), определяемого оператором исходя из возможности реализации угроз безопасности информации, по наличию имен (идентификаторов) компонентов программного обеспечения и (или) по контрольным суммам в процессе загрузки и (или) динамически в процессе работы информационной системы;
ОЦЛ.1.5 Обеспечение физической защиты технических средств информационной системы;
УПД.1.9 Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями;
УПД.11.1 Регламентация и контроль действий пользователей, разрешенных до прохождения ими процедур идентификации и аутентификации, и запрет действий пользователей, не включенных в перечень разрешенных действий, до прохождения ими процедур идентификации и аутентификации"
УБИ.1.2.18,"Угроза утечки информации, обрабатываемой сервером, за счет использования недостатков механизмов разграничения доступа","Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации",О.2 Сервер,"К.1.2.1 Операционная система;
К.1.2.3 Программная оболочка;
К.1.2.4 Драйвер;
К.1.2.6 Загрузчик операционной системы;
К.1.3.1 Системные и сетевые службы",СП.18.1 Доступ без авторизации,"В.1 Нарушитель, обладающий базовыми возможностями","ИАФ.1.1 Аутентификация пользователей с применением логина и пароля;
ИАФ.1.2 Аутентификация пользователей с применением аппаратных средств (токенов);
ИАФ.1.3 Аутентификация пользователей с применением одноразовых паролей;
ИАФ.1.4 Многофакторная (двухфакторная) аутентификация пользователей;
ИАФ.5.1 Обеспечение однозначной идентификации и аутентификации пользователей для всех видов доступа, кроме тех видов доступа, которые определяются как действия, разрешенные до идентификации и аутентификации. ;
ОПО.1.1 Проведение поиска и получение обновлений программного обеспечения от доверенного источника;
ОПО.2.1 Проведение проверки целостности программного обеспечения путем сверки контрольных сумм, предоставляемых разработчиком;
УПД.1.9 Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями;
УПД.2.1 Реализация дискреционного метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе идентификационной информации субъекта и для каждого объекта доступа – списка, содержащего набор субъектов доступа (групп субъектов) и ассоциированных с ними типов доступа;
УПД.2.2 Реализация ролевого метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе ролей субъектов доступа (совокупность действий и обязанностей, связанных с определенным видом деятельности);
УПД.2.3 Реализация мандатного метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе сопоставления классификационных меток каждого субъекта доступа и каждого объекта доступа, отражающих классификационные уровни субъектов доступа и объектов доступа, являющиеся комбинациями иерархических и неиерархических категорий;
УПД.4.1 Разделение полномочий (ролей) пользователей, администраторов и лиц, обеспечивающих функционирование информационной системы, в соответствии с их должностными обязанностями (функциями). Определение в организационно-распорядительных документах по защите информации (документирование) полномочий (ролей) пользователей, администраторов и лиц, обеспечивающих функционирование информационной системы."
